X,Y,CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen,NOMBRE PAR
-58.4760074,-34.5391323,CABILDO AV.,"5000",5000 CABILDO AV.,"-58,4760074","-34,53913230","12",SAAVEDRA,"19",V,"130",V,,,,,,,,,PUENTE SAAVEDRA
-58.4760952,-34.5389417,CABILDO AV.,"5070",5070 CABILDO AV.,"-58,4760952","-34,53894170","12",SAAVEDRA,"59",V,"71",,"151",,"152",V,,,,,PUENTE SAAVEDRA
-58.4758293,-34.5390321,CABILDO AV.,"5000",5000 CABILDO AVE,"-58,4758293","-34,53903210","12",SAAVEDRA,"59",V,"184",V,,,,,,,,,PUENTE SAAVEDRA
-58.4753583,-34.5397638,CABILDO AV.,"4994",4994 CABILDO AV.,"-58,4753583","-34,53976380","12",SAAVEDRA,"68",V,"133",V,,,,,,,,,GRAL PAZ
-58.4752184,-34.5396533,CABILDO AV.,"4995",4995 CABILDO AV.,"-58,4752184","-34,53965330","12",SAAVEDRA,"21",I,"60",I,"168",,,,,,,,PUENTE SAAVEDRA
-58.4753779,-34.5394398,CABILDO AV.,"4995",4995 CABILDO AV.,"-58,4753779","-34,53943980","12",SAAVEDRA,"19",I,"71",,"161",,,,,,,,PUENTE SAAVEDRA
-58.4756879,-34.5389588,CABILDO AV.,"4999",4999 CABILDO AVE,"-58,4756879","-34,53895880","13",NUÑEZ,"59",I,"184",I,,,,,,,,,PUENTE SAAVEDRA
-58.47584,-34.5387075,CABILDO AV.,"5091",5000 CABILDO AVE,"-58,47584","-34,53870750","13",NUÑEZ,"130",I,"152",I,,,,,,,,,PUENTE SAAVEDRA
-58.474261,-34.5410238,CABILDO AV.,"4760",4760 CABILDO AV.,"-58,474261","-34,54102380","12",SAAVEDRA,"133",V,"184",V,,,,,,,,,PICO
-58.4736736,-34.5417732,CABILDO AV.,"4660",4660 CABILDO AV.,"-58,4736736","-34,54177320","12",SAAVEDRA,"68",V,"152",V,,,,,,,,,DEHEZA
-58.4719393,-34.5441514,CABILDO AV.,"4360",4360 CABILDO AV.,"-58,4719393","-34,54415140","12",SAAVEDRA,"133",V,"184",V,,,,,,,,,CORREA
-58.4707748,-34.545462,CABILDO AV.,"4189",4189 CABILDO AV.,"-58,4707748","-34,54546200","13",NUÑEZ,"168",I,"184",I,,,,,,,,,BESARES
-58.4692464,-34.5478402,CABILDO AV.,"3850",3850 CABILDO AV.,"-58,4692464","-34,54784020","12",SAAVEDRA,"68",,"133",V,"152",V,,,,,,,MANZANARES
-58.4681995,-34.5487015,CABILDO AV.,"3723",3723 CABILDO AV.,"-58,4681995","-34,54870150","13",NUÑEZ,"57",I,"194",I,,,,,,,,,CRISOLOGO LARRALDE
-58.4671615,-34.5504579,CABILDO AV.,"3554",3554 CABILDO AV.,"-58,4671615","-34,55045790","13",NUÑEZ,"133",V,"184",V,,,,,,,,,JUANA AZURDUY
-58.46694,-34.55073,CABILDO AV.,"3514",3514 CABILDO AV.,"-58,46694","-34,55073000","13",NUÑEZ,"161",V,"168",V,,,,,,,,,JUANA AZURDUY
-58.4666036,-34.55115,CABILDO AV.,"3470",3470 CABILDO AV.,"-58,4666036","-34,55115000","13",NUÑEZ,"68",V,"152",V,,,,,,,,,MANUELA PEDRAZA
-58.4663039,-34.55153,CABILDO AV.,"3432",3432 CABILDO AV.,"-58,4663039","-34,55153000","13",NUÑEZ,"59",V,"60",V,,,,,,,,,MANUELA PEDRAZA
-58.4643811,-34.55387,CABILDO AV.,"3070",3070 CABILDO AV.,"-58,4643811","-34,55387000","13",NUÑEZ,"29",V,"57",V,"194",,,,,,,,QUESADA
-58.463957,-34.55429,CABILDO AV.,"3030",3030 CABILDO AV.,"-58,463957","-34,55429000","13",NUÑEZ,"133",V,"168",V,"184",V,,,,,,,QUESADA
-58.4633255,-34.55493,CABILDO AV.,"2978",2978 CABILDO AV.,"-58,4633255","-34,55493000","13",NUÑEZ,"68",,"152",V,"161",V,,,,,,,CONGRESO
-58.4629759,-34.55527,CABILDO AV.,"2940",2940 CABILDO AV.,"-58,4629759","-34,55527000","13",NUÑEZ,"59",V,"60",V,,,,,,,,,CONGRESO
-58.4631187,-34.55467,CABILDO AV.,"2995",2995 CABILDO AV.,"-58,4631187","-34,55467000","13",NUÑEZ,"29",I,"60",I,,,,,,,,,CONGRESO
-58.4106392,-34.6339519,CHICLANA AV.,"3271",3271 CHICLANA AV.,"-58,4106392","-34,63395190","4",PARQUE PATRICIOS,"143",I,,,,,,,,,,,SANCHEZ DE LORIA
-58.4068037,-34.6307032,CHICLANA AV.,"3021",3021 CHICLANA AV.,"-58,4068037","-34,63070320","4",PARQUE PATRICIOS,"143",I,,,,,,,,,,,LA RIOJA
